timestamp_iso,timestamp_unix,source_addr,sequence,node_id,n_antennas,n_subcarriers,frequency_mhz,rssi_dbm,noise_floor_dbm,mean_amplitude,rms_amplitude,smoothed_amplitude,amplitude_count
2026-07-25T00:19:32.723+05:30,1784918972.723643,192.168.31.221:59817,3241,1,1,192,2462,-65,-98,13.840305,18.003761,14.305756,192
2026-07-25T00:19:32.747+05:30,1784918972.747276,192.168.31.221:59817,3242,1,1,192,2462,-66,-98,13.887733,18.102285,14.287657,192
2026-07-25T00:19:32.763+05:30,1784918972.763638,192.168.31.221:59817,3243,1,1,192,2462,-65,-98,14.099130,18.310545,14.281944,192
2026-07-25T00:19:32.782+05:30,1784918972.782711,192.168.31.221:59817,3244,1,1,192,2462,-65,-98,14.325737,19.005071,14.280788,192
2026-07-25T00:19:32.803+05:30,1784918972.803138,192.168.31.221:59817,3245,1,1,192,2462,-66,-98,14.266122,18.429059,14.273623,192
2026-07-25T00:19:32.844+05:30,1784918972.844556,192.168.31.221:59817,3246,1,1,192,2462,-66,-98,14.897566,19.686739,14.300533,192
2026-07-25T00:19:32.883+05:30,1784918972.883651,192.168.31.221:59817,3247,1,1,192,2462,-67,-98,14.488863,18.975313,14.298324,192
2026-07-25T00:19:32.906+05:30,1784918972.906734,192.168.31.221:59817,3248,1,1,192,2462,-68,-98,14.278100,18.201133,14.293538,192
2026-07-25T00:19:32.931+05:30,1784918972.931095,192.168.31.221:59817,3249,1,1,192,2462,-67,-98,14.169923,18.589171,14.296334,192
2026-07-25T00:19:32.965+05:30,1784918972.965836,192.168.31.221:59817,3250,1,1,192,2462,-67,-98,14.300481,18.418458,14.299874,192
2026-07-25T00:19:33.007+05:30,1784918973.007781,192.168.31.221:59817,3251,1,1,192,2462,-67,-98,14.190856,17.935213,14.309198,192
2026-07-25T00:19:33.062+05:30,1784918973.062688,192.168.31.221:59817,3252,1,1,192,2462,-66,-98,14.369073,18.519697,14.309726,192
2026-07-25T00:19:33.082+05:30,1784918973.082847,192.168.31.221:59817,3253,1,1,192,2462,-67,-98,14.362570,19.010140,14.311327,192
2026-07-25T00:19:33.123+05:30,1784918973.123246,192.168.31.221:59817,3254,1,1,192,2462,-66,-98,14.351349,18.928319,14.313640,192
2026-07-25T00:19:33.143+05:30,1784918973.143515,192.168.31.221:59817,3255,1,1,192,2462,-68,-98,14.394402,18.381660,14.317988,192
2026-07-25T00:19:33.184+05:30,1784918973.184702,192.168.31.221:59817,3256,1,1,192,2462,-67,-98,14.631000,19.194319,14.322615,192
2026-07-25T00:19:33.223+05:30,1784918973.223754,192.168.31.221:59817,3257,1,1,192,2462,-68,-98,14.368309,18.279799,14.326252,192
2026-07-25T00:19:33.265+05:30,1784918973.265090,192.168.31.221:59817,3258,1,1,192,2462,-68,-98,14.103874,17.739433,14.315611,192
2026-07-25T00:19:33.303+05:30,1784918973.303463,192.168.31.221:59817,3259,1,1,192,2462,-68,-98,14.208316,17.410784,14.307210,192
2026-07-25T00:19:33.323+05:30,1784918973.323383,192.168.31.221:59817,3260,1,1,192,2462,-68,-98,14.354388,18.502956,14.303708,192
2026-07-25T00:19:33.346+05:30,1784918973.346389,192.168.31.221:59817,3261,1,1,192,2462,-69,-98,13.933519,17.252717,14.294843,192
2026-07-25T00:19:33.365+05:30,1784918973.365606,192.168.31.221:59817,3262,1,1,192,2462,-69,-98,14.154778,17.070015,14.290599,192
2026-07-25T00:19:33.394+05:30,1784918973.394263,192.168.31.221:59817,3263,1,1,192,2462,-67,-98,13.629092,17.268106,14.256216,192
2026-07-25T00:19:33.426+05:30,1784918973.426323,192.168.31.221:59817,3264,1,1,192,2462,-67,-98,13.702084,16.492896,14.239110,192
2026-07-25T00:19:33.464+05:30,1784918973.464792,192.168.31.221:59817,3265,1,1,192,2462,-66,-98,13.200290,16.155656,14.207242,192
2026-07-25T00:19:33.507+05:30,1784918973.507418,192.168.31.221:59817,3266,1,1,192,2462,-66,-98,13.262806,16.035118,14.161574,192
2026-07-25T00:19:33.544+05:30,1784918973.544740,192.168.31.221:59817,3267,1,1,192,2462,-66,-98,13.746000,16.881480,14.148981,192
2026-07-25T00:19:33.583+05:30,1784918973.583313,192.168.31.221:59817,3268,1,1,192,2462,-65,-98,13.438167,16.160007,14.111937,192
2026-07-25T00:19:33.605+05:30,1784918973.605566,192.168.31.221:59817,3269,1,1,192,2462,-65,-98,13.665119,16.845808,14.099722,192
2026-07-25T00:19:33.636+05:30,1784918973.636525,192.168.31.221:59817,3270,1,1,192,2462,-65,-98,13.776986,16.429616,14.073841,192
2026-07-25T00:19:33.665+05:30,1784918973.665076,192.168.31.221:59817,3271,1,1,192,2462,-64,-98,14.063305,16.857089,14.071428,192
2026-07-25T00:19:33.703+05:30,1784918973.703124,192.168.31.221:59817,3272,1,1,192,2462,-65,-98,13.982480,16.839778,14.076335,192
2026-07-25T00:19:33.723+05:30,1784918973.723588,192.168.31.221:59817,3273,1,1,192,2462,-65,-98,14.239940,17.273836,14.081293,192
2026-07-25T00:19:33.747+05:30,1784918973.747257,192.168.31.221:59817,3274,1,1,192,2462,-66,-98,14.068525,17.493600,14.088208,192
2026-07-25T00:19:33.783+05:30,1784918973.783575,192.168.31.221:59817,3275,1,1,192,2462,-67,-98,14.081188,16.639092,14.086434,192
2026-07-25T00:19:33.806+05:30,1784918973.806384,192.168.31.221:59817,3276,1,1,192,2462,-68,-98,13.937717,16.626253,14.075841,192
2026-07-25T00:19:33.827+05:30,1784918973.827266,192.168.31.221:59817,3277,1,1,192,2462,-68,-98,13.797751,16.580611,14.067150,192
2026-07-25T00:19:33.864+05:30,1784918973.864994,192.168.31.221:59817,3278,1,1,192,2462,-68,-98,14.059518,16.900136,14.040961,192
2026-07-25T00:19:33.896+05:30,1784918973.896122,192.168.31.221:59817,3279,1,1,192,2462,-68,-98,13.775555,16.536576,14.018671,192
2026-07-25T00:19:33.923+05:30,1784918973.923625,192.168.31.221:59817,3280,1,1,192,2462,-68,-98,13.801374,16.308069,14.003773,192
2026-07-25T00:19:33.965+05:30,1784918973.965545,192.168.31.221:59817,3281,1,1,192,2462,-68,-98,13.352516,16.077773,13.978229,192
