timestamp_iso,timestamp_unix,source_addr,sequence,node_id,n_antennas,n_subcarriers,frequency_mhz,rssi_dbm,noise_floor_dbm,mean_amplitude,rms_amplitude,smoothed_amplitude,amplitude_count
2026-07-23T20:55:06.648+05:30,1784820306.648989,192.168.1.11:59574,157490,1,1,192,2432,-71,-96,14.275198,18.196268,14.275198,192
2026-07-23T20:55:06.689+05:30,1784820306.689004,192.168.1.11:59574,157491,1,1,192,2432,-70,-96,14.453926,18.165185,14.364562,192
2026-07-23T20:55:06.708+05:30,1784820306.708941,192.168.1.11:59574,157492,1,1,192,2432,-69,-96,14.018814,18.170919,14.249313,192
2026-07-23T20:55:06.750+05:30,1784820306.750586,192.168.1.11:59574,157493,1,1,192,2432,-69,-96,14.223271,18.533753,14.242802,192
2026-07-23T20:55:06.758+05:30,1784820306.758427,192.168.1.11:59574,157494,1,1,192,2432,-68,-96,14.095983,17.993923,14.213438,192
2026-07-23T20:55:06.807+05:30,1784820306.807667,192.168.1.11:59574,157495,1,1,192,2432,-68,-96,14.306408,18.315379,14.228933,192
2026-07-23T20:55:06.825+05:30,1784820306.825104,192.168.1.11:59574,157496,1,1,192,2432,-69,-96,14.018747,17.933906,14.198907,192
2026-07-23T20:55:06.870+05:30,1784820306.870111,192.168.1.11:59574,157497,1,1,192,2432,-69,-96,23.740718,30.158868,15.391633,192
2026-07-23T20:55:06.910+05:30,1784820306.910078,192.168.1.11:59574,157498,1,1,192,2432,-70,-96,14.053501,17.886214,15.242952,192
2026-07-23T20:55:06.921+05:30,1784820306.921525,192.168.1.11:59574,157499,1,1,192,2432,-70,-96,14.413493,18.316801,15.160006,192
2026-07-23T20:55:06.968+05:30,1784820306.968128,192.168.1.11:59574,157500,1,1,192,2432,-71,-96,14.145760,17.947551,15.067802,192
2026-07-23T20:55:06.986+05:30,1784820306.986400,192.168.1.11:59574,157501,1,1,192,2432,-71,-96,14.000808,18.131321,14.978886,192
2026-07-23T20:55:07.014+05:30,1784820307.014610,192.168.1.11:59574,157502,1,1,192,2432,-71,-96,14.061213,17.776682,14.908295,192
2026-07-23T20:55:07.048+05:30,1784820307.048831,192.168.1.11:59574,157503,1,1,192,2432,-71,-96,14.321627,18.142377,14.866390,192
